ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,จำนวนครั้งในการเคลม,ค่าสินไหมทดแทน
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,None,157,150,0.07000795544948289,176,7170669.0
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,None,286,150,0.05789717461787865,250,15348644.7
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,None,101,150,0.04102096627164995,45,2315304.0
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,None,117,100,0.24324324324324326,9,101200.5
เจ้าพระยา,None,None,Private,200,5750,7,None,350,80,0.10828821324448147,260,12299717.0
เซนต์หลุยส์,Top,None,Private,387,4500,9,None,188,200,0.03523371104815864,199,5862085.5
เทพธารินทร์,None,None,Private,80,2100,8,None,106,280,0.040376850605652756,30,3842742.15
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,None,263,100,0.06685969992103186,254,9296716.5
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,None,183,100,0.06097760340035965,373,17031864.2
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,None,305,100,0.054287386596429614,371,15706862.19
เพชรเวช,None,None,Private,200,4810,9,None,306,100,0.03986571548468317,95,5210148.0
เมดพาร์ค,Top,None,Private,205,11000,9,None,394,430,0.11320754716981132,12,945195.5599999999
เลิดสิน,None,None,Public,609,1600,9,None,185,100,0.14871794871794872,29,402238.0
เวชการุณย์รัศมิ์,None,None,Public,90,5000,9,None,50,140,0.2857142857142857,2,15793.0
เวชธานี,None,None,Private,263,5850,8,None,722,150,0.06722383720930232,185,11119099.0
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,None,41,100,0.043010752688172046,8,61200.5
แพทย์ปัญญา,None,None,Private,125,2150,9,None,22,100,0.176,22,3654081.0
ไทยนครินทร์,None,None,Private,190,6020,9,None,346,125,0.07291949037679588,269,8586090.0
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,None,1198,300,0.06282906282906282,358,30566148.299999997
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,None,319,400,0.06299840510366826,316,12792912.0
กล้วยน้ำไท 1,None,None,Private,160,6650,8,None,85,100,0.06239168110918544,30,1074731.0
กลาง,None,None,Public,475,3000,9,None,116,30,0.14193548387096774,22,402700.0
การไฟฟ้านครหลวง,None,None,Public,80,0,6,None,29,0,0.0,0,0.0
คลองตัน,None,None,Private,30,2000,4,None,21,100,0.21621621621621623,8,93803.0
คามิลเลียน,None,None,Private,120,4400,7,None,146,100,0.021361815754339118,16,323200.0
จุฬาภรณ์,None,None,Public,115,3500,8,None,445,100,0.15500945179584122,82,1701525.7
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,None,435,20,0.14882577826324414,545,24194259.95
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,None,384,150,0.0935672514619883,176,3209764.0
ซีจีเอชสายไหม,None,None,Private,100,3890,8,None,384,50,0.06381798002219756,115,4123044.0
ตากสิน,None,None,Public,418,1800,9,None,197,50,0.08695652173913043,2,21283.0
ตำรวจ,None,None,Public,485,1600,8,None,363,50,0.3131868131868132,57,1905933.75
ทหารเรือกรุงเทพ,None,None,Public,40,2200,3,None,10,50,0.0,0,0.0
ทหารผ่านศึก,None,None,Public,277,1500,9,None,101,50,0.20754716981132076,11,65921.0
ทหารอากาศ (สีกัน) พอ.,None,None,Public,150,2000,5,None,31,50,0.04,1,4036.0
ธนบุรี 1,Top,THG,Private,435,5620,9,None,625,120,0.0861169102296451,330,17935861.310000002
ธนบุรี 2,None,THG,Private,95,5350,9,None,222,140,0.07747196738022426,228,7444364.13
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,None,86,200,0.08,6,361663.6
นครธน,None,None,Private,150,4500,8,None,60,150,0.06497277676950998,179,7276363.6899999995
นพรัตนราชธานี,None,None,Public,609,1400,9,None,128,150,0.1590909090909091,14,220204.0
นวเวช,None,None,Private,99,4000,8,None,240,100,0.03333333333333333,1,5039.999999999999
นวมินทร์,None,None,Private,180,3000,9,None,92,100,0.1,4,194183.0
นวมินทร์ 9,None,None,Private,245,3280,9,None,179,100,0.08873563218390805,193,6874484.0
นันอา,None,None,Private,30,0,5,None,14,0,0.21428571428571427,3,104307.0
บางโพ,None,None,Private,100,3700,9,None,155,50,0.13191489361702127,217,6866654.069999999
บางไผ่,None,None,Private,100,3530,9,None,8,100,0.03225806451612903,6,625331.1
บางนา 1,None,None,Private,101,2700,7,None,84,100,0.035856573705179286,9,538654.0
บางปะกอก 1,None,BHGRT,Private,120,3200,7,None,171,100,0.06896551724137931,126,3682534.0600000005
บางปะกอก 8,None,BHGRT,Private,200,3200,9,None,219,80,0.12987012987012986,40,457293.25
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,None,285,120,0.06396713615023474,109,4094387.8099999996
บางมด,None,None,Private,203,4000,9,None,71,200,0.07773851590106007,22,509309.0
บ้านแพ้ว สาขาแจ้งวัฒนะ,None,None,Public,10,2300,2,None,17,50,0.16666666666666666,1,0.0
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,None,47,50,0.21739130434782608,10,321824.0
บำรุงราษฎร์,Top,BH,Private,580,11492,9,None,1133,300,0.07317073170731707,177,22790190.880000003
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,None,291,350,0.05484024797329518,115,9042245.870000001
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,None,145,80,0.0617124394184168,191,6474224.880000001
บุญญาเวช,None,None,Private,29,2900,8,None,8,120,0.09302325581395349,4,13125.0
ประชาพัฒน์,None,None,Private,100,4490,9,None,35,100,0.2,1,47683.0
ประสานมิตร,None,None,Public,0,3000,2,None,0,50,0.3103448275862069,9,105356.0
ปิยะเวท,None,BHGRT,Private,150,5760,9,None,243,150,0.04880478087649402,49,1760106.95
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,None,245,150,0.06648103028193526,191,15317544.55
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,None,535,180,0.07105802871275184,589,28862497.58
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,None,412,150,0.09791477787851315,432,21224644.1
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,None,57,80,0.061795569374271275,159,5344364.55
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,None,249,50,0.14363143631436315,106,3185835.33
พระราม 2,None,None,Private,109,4000,7,None,15,135,0.10344827586206896,3,59800.0
พระรามเก้า,Top,None,Private,166,7950,9,None,340,250,0.04361104324456389,357,15043258.0
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,None,221,50,0.08661417322834646,22,340899.5
มเหสักข์,None,None,Private,132,3580,9,None,44,100,0.2222222222222222,4,204842.0
มงกุฎวัฒนะ,None,None,Private,100,4000,8,None,411,75,0.06556968337073049,263,7020182.799999999
มิชชั่น,None,None,Private,120,4000,6,None,107,150,0.06666666666666667,47,3499113.0
มิตรประชา,None,None,Private,148,1800,9,None,55,120,0.06578947368421052,5,180559.0
รัชดา-ท่าพระ,None,None,Public,25,4000,8,None,10,100,0.1,4,27375.0
ราชพิพัฒน์,None,None,Public,277,5000,8,None,200,100,0.16666666666666666,1,2034.5
ราชวิถี,Top,None,Private,1031,4300,9,None,347,100,0.324,81,1693671.5
รามคำแหง,Top,RAM,Public,486,3500,9,None,327,80,0.07943777637397346,503,20457859.25
รามาธิบดี,Top,None,Private,1378,1000,9,None,1041,100,0.15378234903782348,927,60308969.97
ราษฎร์บูรณะ,None,None,Public,124,3950,9,None,46,200,0.11826086956521739,68,2549671.0
ลาดพร้าว,None,None,Private,180,4700,8,None,206,200,0.06286337209302326,519,17545390.92
วชิรพยาบาล,Top,None,Public,740,2400,9,None,341,50,0.450199203187251,103,5887247.25
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,None,7,110,0.09900990099009901,20,410425.45
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,None,137,80,0.12229102167182662,79,2022666.0
วิชัยยุทธ,None,None,Private,207,5500,9,None,716,250,0.07395418326693227,297,18294237.21
วิภาราม,None,VIBHA,Private,150,2200,9,None,272,100,0.05482972799314628,256,12383911.2
วิภาวดี,None,None,Private,258,4360,8,None,417,80,0.09191469950963622,806,27645926.0
วิมุต,None,None,Private,236,5900,7,None,232,150,0.041353383458646614,11,211914.5
ศิครินทร์,None,None,Private,258,5100,9,None,348,120,0.08176905574516496,575,19486255.46
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,6700,9,None,615,180,0.22162576687116564,1445,136177144.04000002
ศิริราชพยาบาล,None,None,Public,2112,1000,9,None,2263,130,0.23731186559327966,678,39202583.04
สงฆ์,None,None,Public,297,0,6,None,35,0,1.0,1,10521.5
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,None,173,150,0.24468085106382978,29,602482.0
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,None,85,300,0.11976047904191617,20,690625.1799999999
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,None,256,300,0.041762013729977114,73,3265306.88
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,None,8,200,0.06523605150214593,228,14307392.89
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,None,571,300,0.06955128205128205,217,20172209.799999997
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,None,45,30,0.09243697478991597,11,352459.22
สหวิทยาการมะลิ,None,None,Private,19,4800,6,None,10,150,0.03333333333333333,1,9732.0
สายหยุด,None,None,Private,6,0,4,None,4,200,0.0,0,0.0
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,None,231,100,0.1247870528109029,393,10865836.399999999
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,None,258,150,0.11894273127753303,586,19920046.92
สินแพทย์ ศรีนครินทร์,None,VIBHA,Private,110,2800,9,None,21,100,0.1260827718960539,27,770531.0
สิรินธร,None,None,Private,305,2000,6,None,144,150,0.47619047619047616,10,371277.5
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,None,5,510,0.0847457627118644,30,1192223.0
สุขสวัสดิ์,None,None,Private,100,4200,8,None,49,50,0.16666666666666666,5,124317.44
สุขุมวิท,None,RAM,Private,135,2760,8,None,46,170,0.06619718309859154,141,7979518.1
หัวเฉียว,None,None,Private,338,3300,6,None,391,50,0.03787506148548942,154,7293681.65
อินทรารัตน์,None,None,Private,152,3800,8,None,21,150,0.04065040650406504,5,274036.5
